run_group,stage,case_id,role,request_index,source_path,fragment_hash,match_rule,match_count,unique_type,field_path,excerpt,upstream_source,role_contract_judgment,severity,classification,code_path,conclusion
p0_full,02_compare_full,statebus,executor,0,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/02_compare_full/workspaces/local_vllm/statebus/benchmark-sample-1/logs/rendered_llm_requests/executor.rendered_request.json,b1cb628e32326d826f2efcd07ac1bc2d8b899172a4bc6a6cd4359159eb2d01bf,route_tool_candidate,1,route_tool_candidate,$.messages[0].content,<statebus-shared-prefix-v1> Revenue = 120 for ACME 2026Q1. </statebus-shared-prefix-v1>  [STATEBUS_ROLE_SUFFIX:executor] You are the StateBus v2 executor role. Validate the chosen route/tool within the visible candidate set. Copy candidate_,rendered request requests[0],Executor route/tool fields can be a lawful verified execution contract; inspect upstream provenance,high,automated_lexical_triage_only,v2/runtime/smoke.py:578-590,lexical hit only; not evidence of cheating without provenance/data-flow confirmation
p0_full,02_compare_full,statebus,executor,0,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/02_compare_full/workspaces/local_vllm/statebus/benchmark-sample-1/logs/rendered_llm_requests/executor.rendered_request.json,fe64f21bd9caccd95b5f1f04a937dc82b455524c0d831fae5b54cbf7dad66f91,route_tool_candidate,1,route_tool_candidate,$.response_schema.properties.candidate_key,candidate_key,rendered request requests[0],Executor route/tool fields can be a lawful verified execution contract; inspect upstream provenance,high,automated_lexical_triage_only,v2/runtime/smoke.py:578-590,lexical hit only; not evidence of cheating without provenance/data-flow confirmation
p0_full,02_compare_full,statebus,executor,0,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/02_compare_full/workspaces/local_vllm/statebus/benchmark-sample-1/logs/rendered_llm_requests/executor.rendered_request.json,fe64f21bd9caccd95b5f1f04a937dc82b455524c0d831fae5b54cbf7dad66f91,route_tool_candidate,1,route_tool_candidate,$.response_schema.required[0],candidate_key,rendered request requests[0],Executor route/tool fields can be a lawful verified execution contract; inspect upstream provenance,high,automated_lexical_triage_only,v2/runtime/smoke.py:578-590,lexical hit only; not evidence of cheating without provenance/data-flow confirmation
p0_full,02_compare_full,statebus,planner,0,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/02_compare_full/workspaces/local_vllm/statebus/benchmark-sample-1/logs/rendered_llm_requests/planner.rendered_request.json,071a9a8b2b579fa0deddc5cb3d9f510955c22beee69e9de5d10aada1ebe84e51,state_or_evidence_contract,1,state_or_evidence_contract,$.messages[0].content,"You are the StateBus v2 planner role. Return exactly one JSON object containing semantic_task_plan with these exact flat keys: goal, entities, time_scope, lexical_query, lexical_objective, semantic_query, semantic_objective, table_query, ta",rendered request requests[0],"lexical signal requires role, provenance, scorer-visibility and downstream data-flow review",review,automated_lexical_triage_only,v2/runtime/smoke.py:578-590,lexical hit only; not evidence of cheating without provenance/data-flow confirmation
p0_full,02_compare_full,statebus,planner,0,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/02_compare_full/workspaces/local_vllm/statebus/benchmark-sample-1/logs/rendered_llm_requests/planner.rendered_request.json,7ab5fac2573a3a63fdb7c5da2fd87375ab7a508974f5c27ad4f82a954b583ccf,state_or_evidence_contract,1,state_or_evidence_contract,$.response_schema.properties.semantic_task_plan,semantic_task_plan,rendered request requests[0],"lexical signal requires role, provenance, scorer-visibility and downstream data-flow review",review,automated_lexical_triage_only,v2/runtime/smoke.py:578-590,lexical hit only; not evidence of cheating without provenance/data-flow confirmation
p0_full,02_compare_full,statebus,planner,0,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/02_compare_full/workspaces/local_vllm/statebus/benchmark-sample-1/logs/rendered_llm_requests/planner.rendered_request.json,7ab5fac2573a3a63fdb7c5da2fd87375ab7a508974f5c27ad4f82a954b583ccf,state_or_evidence_contract,1,state_or_evidence_contract,$.response_schema.required[0],semantic_task_plan,rendered request requests[0],"lexical signal requires role, provenance, scorer-visibility and downstream data-flow review",review,automated_lexical_triage_only,v2/runtime/smoke.py:578-590,lexical hit only; not evidence of cheating without provenance/data-flow confirmation
p0_full,02_compare_full,statebus,retriever,0,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/02_compare_full/workspaces/local_vllm/statebus/benchmark-sample-1/logs/rendered_llm_requests/retriever.rendered_request.json,2e8d9629a0378a2af29292240ceffc1f4a6a54559ec7f4db73df358abdb56094,route_tool_candidate,1,route_tool_candidate,$.messages[0].content,"<statebus-shared-prefix-v1> Revenue increased for ACME in 2026Q1 as enterprise demand improved in APAC. Management highlighted stronger enterprise renewals, improved APAC channel sell-through, and stable collections. Operating expense disci",rendered request requests[0],"lexical signal requires role, provenance, scorer-visibility and downstream data-flow review",high,automated_lexical_triage_only,v2/runtime/smoke.py:578-590,lexical hit only; not evidence of cheating without provenance/data-flow confirmation
p0_full,02_compare_full,statebus,retriever,0,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/02_compare_full/workspaces/local_vllm/statebus/benchmark-sample-1/logs/rendered_llm_requests/retriever.rendered_request.json,fe64f21bd9caccd95b5f1f04a937dc82b455524c0d831fae5b54cbf7dad66f91,route_tool_candidate,1,route_tool_candidate,$.response_schema.properties.candidate_key,candidate_key,rendered request requests[0],"lexical signal requires role, provenance, scorer-visibility and downstream data-flow review",high,automated_lexical_triage_only,v2/runtime/smoke.py:578-590,lexical hit only; not evidence of cheating without provenance/data-flow confirmation
p0_full,02_compare_full,statebus,retriever,0,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/02_compare_full/workspaces/local_vllm/statebus/benchmark-sample-1/logs/rendered_llm_requests/retriever.rendered_request.json,fe64f21bd9caccd95b5f1f04a937dc82b455524c0d831fae5b54cbf7dad66f91,route_tool_candidate,1,route_tool_candidate,$.response_schema.required[0],candidate_key,rendered request requests[0],"lexical signal requires role, provenance, scorer-visibility and downstream data-flow review",high,automated_lexical_triage_only,v2/runtime/smoke.py:578-590,lexical hit only; not evidence of cheating without provenance/data-flow confirmation
p0_full,02_compare_full,statebus,summarizer,0,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/02_compare_full/workspaces/local_vllm/statebus/benchmark-sample-1/logs/rendered_llm_requests/summarizer.rendered_request.json,,no_match,0,none,,,rendered request requests[0],no flagged field-name/value pattern,none,no_lexical_signal,v2/runtime/smoke.py:578-590,no automated taint hit
